company_number,company_name,candidate_domain,http_status,match_strength,matched_on,page_sha256,notes
16587200,GVS UTILITIES LIMITED,gvsutilities.co.uk,200,strong,full_registered_name,d98e33cb7ea8725a9adc78ae2123e8ee9e68da8e004940e6be7da55000204113,
16587411,ATLAR TECHNOLOGY LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16597212,GHANI HALAL MEAT LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16613148,ALTUROS CONSULTING LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16613826,KSJ SELECT LIMITED,ksjselect.co.uk,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,1 other candidate(s) also served a page
16615045,GRAND ROYALE EVENTS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: 406,DNSFailure"
16622755,ELITE RESEARCH & DEVELOPMENT LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16640652,ASSURED BUILDING AND GROUND WORKS NW LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16669831,FLN SERVICES LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16687827,PULSE DIGITAL MARKETING SOLUTION LIMITED,pulsedigitalmarketingsolution.uk,200,none,,6d013f5181d0a9db45807a6dc55b23eacd4f3f7e1fe66d136381a17904b215c2,
16695101,DIESEL LOGIC LTD,diesellogic.co.uk,200,weak,distinctive_name_only,7a33fac2b9f587903c294e823a873c72ff780e596f3e170e96f47e92f8afc680,
16696519,GENTSROOM GROUP LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16703902,S & M HOUSE MAINTENANCE LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16735571,TRAVEL RECORDS LTD,travelrecords.com,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,1 other candidate(s) also served a page
16737735,PENDEFORD PARK LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16740799,AURA & AROMA LTD,auraaroma.com,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,
16764179,SUGEON LTD,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16773338,PLACEMENT VAULT LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure,SSLError"
16782290,B.LFLORISTRY LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16785948,THAMES VALLEY STORAGE LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure,SSLError"
16786308,SBA-SPI LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16791557,GOLDENMARK GIFTS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16802691,MEDIREC LTD,medirec.co.uk,200,weak,distinctive_name_only,f33121a905e4796460c66bab6cfec376637c77b2950b3e1d1fdba6004c8e8c5c,
16804815,PRIVAPAY LTD,privapay.com,200,weak,distinctive_name_only,adad6d5780dd7dd24ef03c2020c4b4f4f4e90edeac0f6112b8f7a247ffbdefb1,redirected to brandsly.com
16806518,RIGHTLY MANAGED LIMITED,rightlymanaged.co.uk,200,weak,distinctive_name_only,dd2f742d74c4253445a180af40ac1e8b89d4a9c0f85a9c1b62f5cf45cf04236f,
16816197,LBC TRADING LTD,lbctrading.com,200,weak,distinctive_name_only,b28afcce2494976c27c15b4a16c30057add137ce09e7b84697b67684b6e56104,redirected to www.hugedomains.com; possible placeholder page (this domain is for sale)
16818429,BIGSELLE LIMITED,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16827881,FENIXXA IMPACT CONSULTING LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16832983,VELANTIS LTD,velantis.co.uk,200,weak,distinctive_name_only,d7bd351981e4302c54f6e783ce87e783432ee8471eb35f5d3758de978c77835d,
16844439,ABSATOP CONSULTING LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16846314,KEOINNOVATIONS LTD,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16854706,NOVA NEURON LTD,novaneuron.com,200,weak,distinctive_name_only,cde2d46b53276902309a64d8ef78cd66fbf91ed12693f7b4ae0257134189e15a,
16856027,MARK SMITH ELECTRICAL LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure,SSLError"
16861105,VADMALL LIMITED,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16861861,ICONIQ RENEWABLES LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16864677,SANCTUARY GARDEN ROOMS LIMITED,sanctuarygardenrooms.uk,200,strong,company_number:16864677,3a69c353fbe8f4c545ef78459160d8227ca4a093c8e929f088327ab536bf196c,1 other candidate(s) also served a page
16879015,YASH TEXTILES LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16891136,HWHJ CONSULTING LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16898885,ROCKBOURNE PROPERTIES LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16903065,LAGARTO LTD,lagarto.uk,200,weak,distinctive_name_only,37200bc75c229c51364b7924619d41bd5deca85d4ac97914a4718fa73ef43f2e,
